order_id,order_date,customer,product,amount,owner,note
SO-2026-001,2026-05-01,杭州明远五金,不锈钢合页,12800.00,王敏,模拟数据
SO-2026-002,2026-05-02,宁波华诚机电,滑轨套件,8650.00,李强,模拟数据
SO-2026-003,2026-05-03,苏州东晟贸易,门锁套装,19320.50,王敏,模拟数据
SO-2026-004,2026-05-04,上海启新装饰,铰链配件,4520.00,赵磊,模拟数据
SO-2026-005,2026-05-05,义乌恒泰商贸,拉手套件,6110.00,李强,模拟数据
SO-2026-006,2026-05-06,南京金筑材料,门吸配件,3780.00,王敏,模拟数据
SO-2026-007,2026-05-07,杭州明远五金,滑轨套件,9200.00,王敏,模拟数据
SO-2026-008,2026-05-08,常州瑞达装潢,门锁套装,14750.00,赵磊,模拟数据
SO-2026-009,2026-05-09,无锡诚辉建材,不锈钢合页,5400.00,李强,模拟数据
SO-2026-010,2026-05-10,温州佳和贸易,铰链配件,7800.00,王敏,模拟数据
SO-2026-011,2026-05-11,绍兴宏达五金,拉手套件,3200.00,赵磊,模拟数据
SO-2026-012,2026-05-12,台州远航装饰,门吸配件,2890.00,李强,模拟数据
