payment_id,payment_date,customer,amount,method,note
PAY-2026-001,2026-05-02,杭州明远五金,12800.00,银行转账,模拟数据
PAY-2026-002,2026-05-03,宁波华诚机电,8650.00,银行转账,模拟数据
PAY-2026-003,2026-05-04,苏州东晟贸易,19320.49,银行转账,模拟数据
PAY-2026-004,2026-05-05,上海启新装饰,4520.00,微信转账,模拟数据
PAY-2026-005,2026-05-06,义乌恒泰商贸有限公司,6110.00,银行转账,模拟数据
PAY-2026-006,2026-05-05,南京金筑材料,3780.00,银行转账,模拟数据
PAY-2026-007,2026-05-09,杭州明远五金,9200.00,银行转账,模拟数据
PAY-2026-008,2026-05-10,常州瑞达装潢,14700.00,银行转账,模拟数据
PAY-2026-009,2026-05-11,无锡诚辉建材,5400.00,银行转账,模拟数据
PAY-2026-010,2026-05-12,嘉兴临时客户,2600.00,现金,模拟数据
PAY-2026-011,2026-05-09,台州远航装饰,2890.00,银行转账,模拟数据
